序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
1,3,2,1,2,152.32,西南,精装,有,9,低,板楼,一梯两户,保利西子湾,121.2404,31.066,松江新城广富林路1188弄,2010,590
2,3,2,0,1,85.87,南,精装,有,中,21,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,375
3,3,2,1,2,96.19,南 北,毛坯,无,低,6,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,410
4,3,1,1,1,88.48,南,精装,有,高,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,388
5,2,2,1,1,89.88,南,简装,有,低,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,353
6,3,2,1,2,111.17,南 北,精装,有,高,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,480
7,3,2,1,2,99.66,南,精装,无,低,6,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,479
8,3,2,1,1,81.73,南,简装,有,低,17,板楼,一梯两户,信达蓝爵,121.248677,31.065979,淡家浜街99弄,2013,340
9,3,2,1,1,86.11,南,精装,有,高,21,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,360
10,2,2,1,1,90.14,南,精装,有,低,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,398
11,2,1,1,1,74,南 北,精装,有,低,21,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,328
12,3,2,1,2,127.85,南,精装,有,低,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,485
